ID,post_title,foto-padrao,informacoes-do-produto,modo-de-preparo,receita-padrao,receituario,total-da-massa-medida,video,video-passo-a-passo
1896,1000006 | IREKS LE PAIN BRIOCHE,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000006_ireks_le_pain_brioche-1-scaled.jpg,"Mistura pronta para preparo de brioche - O autêntico brioche francês - Delicioso sabor amanteigado - Textura suave, macia e fibrosa Dosagem: 100% | Embalagem: 10 kg (5 x 2 kg) | Adesivos: 50 adesivos","Tempo de preparo da massa: 4 minutos na velocidade 1 e até obter o ponto de véu na velocidade 2 Peso das peças sugerido: 120 g ou no tamanho desejado Descanso das peças: 10 minutos, cobertas com plástico Formato: esticar 3 peças e modelar em formato de trança Fermentação: 90 minutos ou até obter o ponto Temperatura do forno: 180°C Tempo de forneamento: 25 minutos sem vapor ou até obter o ponto Dica: pincelar com ovos no meio da fermentação Total da massa crua: 3.320 g Total da massa assada: 2.988 g Rendimento: 9 brioches de aprox. 332 g cada Quebra: 10%","IREKS LE PAIN BRIOCHE (100%, ); Ovos (gelados) (30%, ); Margarina (com 80% de lipídios) (15%, ); Fermento fresco (6%, ); Água (gelada) (15%, )",https://www.ireks.com.br/fileadmin/sites/ireks-brasil/user_upload/IREKS_Receituario_Festival_Brioche_2024.pdf,3320,https://www.youtube.com/watch?v=dmw3is-b-rs,https://www.youtube.com/watch?v=dmw3is-b-rs
1902,1000067 | IREKS BRIOCHE C50,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000067_ireks_brioche_c50-1-scaled.jpg,"Mistura para preparo de brioche - O autêntico brioche francês - Delicioso sabor amanteigado - Textura suave, macia e fibrosa Dosagem: 50 % | Validade: 6 Meses | Embalagem: 20 kg (4 x 5 kg) | Adesivos: 200 adesivos",,,,,,
1910,1000381 IREKS BRIOCHE T C50,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000381_ireks_brioche_T_c50-1-scaled.jpg,"Mistura para preparo de brioche - O autêntico brioche francês - Delicioso sabor amanteigado - Textura suave, macia e fibrosa Dosagem: 50 % | Validade: 6 Meses | Embalagem: 20 kg (4 x 5 kg) | Adesivos: 200 adesivos",,,,,,
1929,1000079 | IREKS SUAVEMIX C20,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000079_ireks_pao_de_hamburguer-1.jpg,"Mistura para preparo de pães de massa suave - Aplicações: Pão de forma, pão de leite, pão p/ hambúrguer, pão p/ hot dog, pão sovado, bisnaguinhas e salgados assados Dosagem: 20% | Validade: 6 Meses | Embalagem : 10 kg (2 x 5 kg)",,,,,,
1933,1000036 | IREKS PÃO DOCE C33,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000036_ireks_pao_doce-1-scaled.jpg,"Mistura para preparo de pão doce - Ótimo dulçor e excelente volume - Possibilita uma infinidade de variações Dosagem: 33,3 % | Validade: 6 Meses | Embalagem: 20 kg (4 x 5 kg)",,,,,,
1939,1000201_1000770 | IREKS CHIPA C80,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000201_ireks_chipa-scaled.jpg,Mistura para preparo de chipa - Textura e sabor marcantes - Permite modelagem da massa com adição de diversos recheios Dosagem: 80% | Validade: 4 meses | Embalagem: 10 kg (5 x 2 kg) | Saco: 20 kg,,,,,https://www.youtube.com/watch?v=p-rLoNDNFW8&amp;list=PLhgz6R_DV9Lgm3s5RrKMFXDmGiCHMb9Qh&amp;index=16,
2059,1000652 | IREKS GRANO BRIOCHE,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000652_ireks_grano_brioche.png,"Mistura pronta para preparo de brioche - Com farinha integral - Fonte de fibras - Textura suave, macia e fibrosa Dosagem: 100% | Validade: 4 meses | Embalagem: 10 kg (5x2 kg) | Adevisos: 50 adesivos",,,,,,
2071,1000690 | IREKS SCHOKO BRIOCHE,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000690_schoko_brioche-1-scaled.jpg,"Mistura pronta para brioche chocolate - Com toque de chocolate - Textura, maciez e aroma que proporcionam uma experiência única Dosagem: 100% | Embalagem: 10 kg (5 x 2 kg) | Adesivos: 50 adesivos",,,https://receitas.ireks.com.br/wp-content/uploads/2024/01/Receituario_SchokoBrioche_Digital.pdf,,,https://www.youtube.com/watch?v=AaCRbR4gzp4&amp;list=PLhgz6R_DV9Lgm3s5RrKMFXDmGiCHMb9Qh&amp;index=17
2084,1000028 | IREKS PÃO AUSTRALIANO CLÁSSICO C100,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000028_ireks_pao_australiano_classico-1-scaled.jpg,Mistura pronta para preparo de pão australiano - Cor e aroma intensos - Coloração natural à base de malte Dosagem: 100% | Embalagem: 10 kg (5 x 2 kg) | Topping Cobertura | Adesivos: 50 adesivos,,,,,,
2092,1000040 | IREKS PÃO AUSTRALIANO S C100,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000040_ireks_pao_australiano_s-1-scaled.jpg,Mistura pronta para preparo de pão australiano com suave aroma de mel - Cor e aroma suaves - Coloração natural à base de malte Dosagem: 100% | Validade: 6 meses | Embalagem: 10 kg (5x2 kg) | Topping Cobertura | Adesivos: 50 adesivos,,,,,,
2096,1000129 | IREKS PÃO AUSTRALIANO S C50,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000129_ireks_pao_australiano_s_c50-1-scaled.jpg,Mistura para preparo de pão australiano - Cor e aroma suaves - Coloração natural à base de malte Dosagem: 100% | Validade: 6 meses | Embalagem: 10 kg (5x2 kg) | Adesivos: 100 adesivos,,,,,,
2102,1000003 | IREKS VENEZA,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000003_ireks_veneza-1-scaled.jpg,"Mistura pronta para preparo de especialidades italianas - Ideal para pães aromáticos, pizzas, focaccias, salgados, assados e folhados - Contém massa madre - Coloração natural à base de malte - Sabor marcante e único Dosagem: 100% | Validade: 6 meses | Embalagem: 10 kg (5x2 kg)",,,,,,
2336,1000032 | IREKS PÃO DE MANDIOQUINHA C50,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000032_ireks_pao_de_mandioquinha-1.jpg,Mistura para preparo de pão de mandioquinha - Macio e úmido - Permite uma infinidade de variações - Contém farinha de mandioquinha Dosagem: 50 % | Validade: 6 meses | Embalagem: 10kg (2 x 5 kg) | Adesivos: 80 Adesivos,,,https://www.ireks.com.br/fileadmin/sites/ireks-brasil/receituario-Deliciasdocampo.pdf,,,
2339,1000026 | IREKS PÃO DE MILHO ESPECIAL C50,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000026_ireks_pao_de_milho_especial-1-scaled.jpg,Mistura para preparo de pão de milho Macio e úmido Permite uma infinidade de variações Contém erva-doce Dosagem: 50 % | Validade: 6 meses | Embalagem: 10kg (2 x 5 kg) | Adesivos: 80 Adesivos,,,https://www.ireks.com.br/fileadmin/sites/ireks-brasil/receituario-Deliciasdocampo.pdf,,,
2342,1000027 | IREKS PÃO DE OVOS ESPECIAL C50,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000027_ireks_pao_de_ovos_especial-1.jpg,Mistura para preparo de pão de ovos Macio e úmido Permite uma infinidade de variações Dosagem: 50 % | Validade: 6 meses | Embalagem: 10kg (2 x 5 kg) | Adesivos: 140 Adesivos,,,https://www.ireks.com.br/fileadmin/sites/ireks-brasil/receituario-Deliciasdocampo.pdf,,,
2345,1000070 | IREKS PÃO DE CENOURA C50,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000070_ireks_pao_de_cenoura-1-scaled.jpg,Mistura para preparo de pão de cenoura - Macio e úmido - Permite uma infinidade de variações - Contém cenoura em pó Dosagem: 50 % | Validade: 6 meses | Embalagem: 10kg (2 x 5 kg) | Adesivos: 80 Adesivos,,,https://www.ireks.com.br/fileadmin/sites/ireks-brasil/receituario-Deliciasdocampo.pdf,,,
2348,1000087 | IREKS PÃO DE ABÓBORA C50,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000087_pao_de_abobora_bolinha-1-scaled.jpg,Mistura para preparo de pão de abóbora Macio e úmido Permite uma infinidade de variações Contém sementes de abóbora Dosagem: 50 % | Validade: 6 meses | Embalagem: 10kg (2 x 5 kg) | Adesivos: 80 Adesivos,,,https://www.ireks.com.br/fileadmin/sites/ireks-brasil/receituario-Deliciasdocampo.pdf,,,
2351,1000058 | IREKS TOP MACIO,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000058_ireks_pao_de_hamburguer_top_macio-1-scaled.jpg,"Mistura para preparo de pães de massa suave - Excelente sabor, maciez e frescor por mais tempo - Aplicações: Pão de forma, pão de leite, pão p/ hambúrguer, pão p/ hot dog, pão sovado, bisnaguinhas e salgados assados Dosagem: 50% | Validade: 6 meses | Embalagem: 10 kg (2 x 5 kg)",,,,,,
2352,1000451 | IREKS PÃO DE TAPIOCA C50,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000451_ireks_pao_de_tapioca-1-scaled.jpg,Mistura para preparo de pão de tapioca Macio e úmido Permite uma infinidade de variações Com tapioca granulada Dosagem: 50 % | Validade: 6 meses | Embalagem: 10kg (2 x 5 kg) | Adesivos: 80 Adesivos,,,https://www.ireks.com.br/fileadmin/sites/ireks-brasil/receituario-Deliciasdocampo.pdf,,,
2356,1000689 | IREKS PÃO DE LEITE C50,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000689_ireks_pao_de_leite_c50-1-scaled.jpg,"Mistura para preparo de pão de leite - Macio e úmido - Permite uma infinidade de variações - Textura suave, macia e saborosa Dosagem: 50 % | Validade: 6 meses | Embalagem: 10kg (2 x 5 kg) | Adesivos: 100 Adesivos",,,,,,
2365,1000180 | IREKS PÃO DE BATATA DOCE C50,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000180_ireks_pao_de_batata_doce-2-scaled.jpg,Mistura para preparo de pão de batata doce Macio e úmido Permite uma infinidade de variações Contém cubos de batata doce Dosagem: 50 % | Validade: 6 meses | Embalagem: 10kg (2 x 5 kg) | Adesivos: 80 Adesivos,,,https://www.ireks.com.br/fileadmin/sites/ireks-brasil/receituario-Deliciasdocampo.pdf,,,
2369,1000007 | IREKS CROISSANT PRESTIGE,https://receitas.ireks.com.br/wp-content/uploads/2023/11/2342_2_3_IREKS-CROISSANT-PRESTIGE-3-1.jpg,Mistura pronta para preparo do tradicional croissant francês - Processo rápido e fácil | Miolo bem alveolado - Textura suave e crocante Dosagem : 100% | Validade: 6 meses | Embalagem: 1 0 kg (5 x 2 kg),,,,,,
2371,1000117 | IREKS SÓVITAL QUINOA C50,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000117_sovital_quinoa-1-scaled.jpg,Mistura para preparo de pão de quinoa com castanha-do-pará - Coloração natural à base de malte - Contém sementes de quinoa Dosagem: 50% | Validade: 4 meses | Embalagem: 10 kg (2 x 5 kg) | Topping: Cobertura | Embalagens Plásticas: 80 | Adesivos: 80,,,,,,
2378,1000240 | IREKS CROISSANT C50,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000240_ireks_croissant_c50-1-scaled.jpg,Mistura para preparo do tradicional croissant francês - Processo rápido e fácil | Miolo bem alveolado - Textura suave e crocante Dosagem: 50% | Validade: 8 meses | Embalagem: 10 kg,,,,,,
2379,1000025 | IREKS PÃO DE BATATA ESPECIAL C50,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000025_ireks_pao_de_batata_especial-2-scaled.jpg,Mistura para preparo de pão de batata - Macio e úmido - Permite uma infinidade de variações - Contém batata em flocos Dosagem: 50 % | Validade: 6 meses | Embalagem: 10kg (2 x 5 kg) | Adesivos: 80 Adesivos,,,https://www.ireks.com.br/fileadmin/sites/ireks-brasil/receituario-Deliciasdocampo.pdf,,,
2386,1000614 | IREKS PÃO INTEGRAL TRADICIONAL,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000614_ireks_pao_integral_tradicional-1-scaled.jpg,"Mistura pronta para preparo de pão integral tradicional Com 53,2% de ingredientes integrais (produto acabado) Fonte de fibras Coloração natural à base de maltes Sem adição de farinha branca Dosagem: 100 % | Validade: 6 meses | Embalagem: 10kg (2 x 5 kg) | Quantidade: 44 Embalagens plásticas | Adesivos: 44 Adesivos",,,,,,
2390,CROISSANT MANTEIGA C50 | 1000860,https://receitas.ireks.com.br/wp-content/uploads/2023/11/DSC08837-scaled.jpg,"Mistura para preparo de croissant - Fácil preparo, resultado impecável! - Laminado perfeito e o sabor autêntico de manteiga - Ideal para produção artesanal e industrial - Maciez por dentro e um sabor amanteigado inconfundível IREKS CROISSANT MANTEIGA C50 oferece textura delicada, fermentação equilibrada e lâminas semi-folhadas perfeitas em cada mordida. Experimente essa inovação e eleve o nível dos seus produtos! Dosagem: 50% | Embalagem: 10 kg (2 x 5 kg)",,,,,,
2394,1000613 | IREKS PÃO INTEGRAL ESPELTA,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000613-_ireks_pao_integral_espelta-1-scaled.jpg,"Mistura pronta para preparo de pão integral com espelta, castanhas e sementes de girassol Com 46,0% de ingredientes integrais (produto acabado) Fonte de fibras Contém massa madre e maltes Sem adição de farinha branca Dosagem: 100 % | Validade: 6 meses | Embalagem: 10kg (2 x 5 kg) | Quantidade: 44 Embalagens plásticas | Adesivos: 44",,,,,,
2403,1000612 | IREKS PÃO INTEGRAL MULTIGRÃOS C100,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000612_ireks_pao_integral_multigraos-1-scaled.jpg,"Mistura pronta para preparo de pão integral multigrãos - Com 40,0% de ingredientes integrais (produto acabado) - Fonte de fibras - Mix de 12 grãos (gergelim, girassol, setária, soja, linhaça, aveia, centeio, cevada, triticale, milho, trigo e arroz) - Coloração natural à base de maltes - Cobertura multigrãos Dosagem: 100 % | Validade: 6 meses | Embalagem: 10kg (2 x 5 kg) | Topping – Cobertura | Quantidade: 40 Embalagens plásticas | Adesivos: 40 Adesivos",,,,,,
2410,1000600 | IREKS PÃO AUSTRALIANO INTEGRAL,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000600_ireks_australiano_integral-1-scaled.jpg,"Mistura pronta para preparo de pão australiano integral Com 31,51% de farinha integral Coloração natural Contém malte, mel e cacau Fermentação rápida Dosagem: 100 % | Embalagem: 10kg (5 x 2 kg) | Topping - Cobertura | Adesivos: 50 Adesivos",,,,,https://www.youtube.com/watch?v=9eN4OnzNbaE&amp;list=PLhgz6R_DV9Lgm3s5RrKMFXDmGiCHMb9Qh&amp;index=15,https://www.youtube.com/watch?v=9eN4OnzNbaE&amp;list=PLhgz6R_DV9Lgm3s5RrKMFXDmGiCHMb9Qh&amp;index=14
2412,1000711 | IREKS PANETTONE LIEVITO MADRE C50,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000711_ireks_panettone_lievito_madre_c50_chocolate-1-scaled.jpg,Mistura para panetone artesanal - Com massa madre de origem italiana - Coloração acentuada - Aroma frutado intenso. Macio e úmido - Excelente estrutura de fibras - Contém gemas na composição - Processo original feito com esponja Dosagem: 50% | Embalagem: 10 kg (2 x 5 kg),,,,,,
2417,1000370 | IREKS PÃO FRANCÊS INTEGRAL C33,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000370_ireks_pao_frances_integral_c33-1-scaled.jpg,"Mistura para preparo de pão francês integral C33 Com 52,57% de ingredientes integrais Fonte de fibras Sem adição de farinha branca Contém massa madre e maltes Dosagem: 33,3 % | Embalagem: 10kg (2 x 5 kg)",,,,,,
2418,1000010 | IREKS PÃO DE QUEIJO ORIGINAL,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000010_ireks_pao_de_queijo_original-1-scaled.jpg,Mistura pronta para preparo de pão de queijo - Crocante por fora e macio por dentro - Permite adição de diversos recheios na massa Dosagem: 100% | Validade: 5 meses | Embalagem: 10 kg (5 x 2 kg),,,,,,
2425,1000611 | IREKS PÃO FRANCÊS INTEGRAL C50,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000611_ireks_pao_frances_integral_c50-1-scaled.jpg,"Mistura para preparo de pão francês integral - Com 38,8% de ingredientes integrais - Fonte de fibras - Contém massa madre - Coloração natural à base de maltes Dosagem: 50 % | Validade: 6 meses | Embalagem: 10kg (2 x 5 kg)",,,,,,
2426,1000695 | IREKS PANETTONE SOFT,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000695_ireks_panettone_soft_chocolate-1-scaled.jpg,"Mistura para preparo de panetone - Coloração amarelo + intenso - Aroma cítrico. Macio e úmido - Contém gemas e massa madre na composição - Processo original feito com esponja Dosagem: 78,4% | Embalagem: 20 kg (4 x 5 kg)",,,,,,
2427,1000098 | IREKS DONUTS C50,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000098_ireks_donuts_c50-1-scaled.jpg,"Mistura para preparo de donuts - Textura fina | Macio por mais tempo | Absorção de óleo reduzida - Aplicações: Donuts em anel e recheado, cinnamon rolls, rosquinhas, bolinho de chuva, cronuts, pretzel doce Dosagem: 50% | Validade: 7 meses | Embalagem: 10 kg (5 x 2 kg)",,,,,,
2433,1000616 | IREKS PÃO INTEGRAL TRADICIONAL C50,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000616_ireks_pao_integral_tradicional_c50-1-scaled.jpg,"Mistura para preparo de pão integral tradicional C50 Com 35,3% de ingredientes integrais (produto acabado) Fonte de fibras Com massa madre Coloração natural à base de maltes Dosagem: 50 % | Embalagem: 10kg (2 x 5 kg)",,,,,,
2434,1000071 | IREKS SUPERSOFT C50,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000071_supersoft_massa_base-1.jpg,"Mistura para preparo de especialidades doces - Rápida fermentação | Mordida curta | Múltiplas variações - Aplicações: Monkey bread, cucas, strudel, stollen, pretzel doce, massas doces Dosagem: 50% | Validade: 6 meses | Embalagem: 10 kg (5 x 2 kg)",,,,,,
2435,1000160 | IREKS GRAN PANETTONE S C50,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000160_ireks_gran_panettone_s_chocolate-1-scaled.jpg,Mistura para preparo de panetone - Coloração amarelo + intenso - Aroma cítrico intenso. Muito mais macio e úmido - Contém gemas e massa madre na composição Dosagem: 50 % | Validade: 6 meses | Embalagem: 20kg (4 x 5 kg),,,,,,
2440,1000615 | IREKS PÃO INTEGRAL MULTIGRÃOS C50,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000615_ireks_pao_integral_multigraos_c50-1-scaled.jpg,"Mistura para preparo de pão integral multigrãos - Com 39,30% de ingredientes integrais (produto acabado) - - Fonte de fibras - Mix de 12 grãos (gergelim, girassol, setária, soja, linhaça, aveia, centeio, cevada, triticale, milho, trigo e arroz) - Com massa madre - Coloração natural à base de maltes - Cobertura multigrãos Dosagem : 50 % | Embalagem: 10kg (2 x 5 kg) | Topping – Cobertura",,,,,,
2441,1000011 | IREKS GOLDEN BERLINER,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000011_ireks_golden_berliner-1-scaled.jpg,Mistura pronta para preparo de sonho - Dispensa adição de ovos | Absorção de óleo reduzida - A famosa receita do berliner (sonho) alemão! Dosagem: 100% | Validade: 6 meses | Embalagem: 10 kg (5 x 2 kg),,,,,,
2447,1000650 | IREKS GRAN PANETTONE C100,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000650_ireks_gran_panettone_c100_frutas-1-scaled.jpg,Mistura pronta para preparo de panetone - Coloração amarelo + intenso - Aroma frutado suave. Muito mais macio e úmido - Contém gemas e massa madre na composição Dosagem: 100% | Validade: 6 meses | Embalagem: 10 kg (2 x 5 kg),,,,,,
2448,1000029 | IREKS BAGUETTE CLÁSSICA C100,https://receitas.ireks.com.br/wp-content/uploads/2023/11/2335_2_3_IREKS-BAGUETTE-CLASSICA-MM-C100-3.jpg,Mistura pronta para preparo de pão baguete - Contém massa madre - Crosta crocante e miolo alveolado - Sabor e aroma irresistíveis Dosagem: 100 % | Validade: 6 meses | Saco: 20 kg,,,,,,
2452,1000273 | IREKS GRAN PANETTONE S C12,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000273_panettone_frutas-1-scaled.jpg,Mistura para preparo de panetone - Coloração amarelo + intenso - Aroma frutado suave. Muito mais macio e úmido - Contém gemas e massa madre na composição Dosagem: 12% | Validade: 6 meses | Embalagem: 10 kg,,,,,,
2459,1000009 | IREKS PÃO ITALIANO CLÁSSICO,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000009_ireks_pao_italiano_classico-1-scaled.jpg,Mistura pronta para preparo de pão italiano Um pão italiano com qualidade superior Contém massa madre Crosta rústica e crocante Dosagem: 100 % | Validade: 6 meses | Embalagem: 20kg (4 x 5 kg),,,,,,
2460,1000692 | IREKS SONHO C50,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000692_ireks_sonho_c50-1-scaled.jpg,Mistura para preparo de sonho - Textura fina | Macio por mais tempo - Absorção de óleo reduzida Dosagem: 50% | Validade: 6 meses | Embalagem: 10 kg (5 x 2 kg),,,,,,
2461,1000203 | IREKS PANETTONE SG C10,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000203_ireks_panettone_fruta_sg_c10-1-scaled.jpg,Mistura para preparo de panetone - Coloração amarelo + claro - Aroma cítrico intenso. Muito mais macio e úmido - Sem adição de gemas e com massa madre na composição Dosagem: 10% | Validade: 6 meses | Embalagem: 10 kg,,,,,,
2467,1000002 | IREKS CIABATTA CLÁSSICA,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000002_ireks_ciabatta_classica_c100-2-rotated.jpg,Mistura pronta para preparo de pão ciabatta Contém massa madre Casca fina e crocante Miolo aberto e alveolado Dosagem: 100 % | Embalagem: 20kg (4 x 5 kg),,,,,,
2470,1000045 | IREKS GOLDEN PANETTONE CLÁSSICO C50,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000045_ireks_golden_panettone_gotas_de_chocolate-1-scaled.jpg,Mistura para preparo de panetone - Coloração amarelo + claro - Aroma frutado suave. Macio e úmido - Contém gemas e massa madre na composição Dosagem: 50% | Validade: 6 meses | Embalagem: 20 kg (4x5 kg),,,,,,
2473,1000697 | IREKS PANE LIEVITO MADRE C50,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000697_ireks_pane_lievito_madre_c50-1-scaled.jpg,Solução para pães rústicos artesanais - Com massa madre de origem italiana - Proporciona textura e aroma exclusivos - Volume atraente e massa uniforme - Casca fina e mordida curta Dosagem: 50 % | Embalagem: 10kg (2 x 5 kg),,,,,,
2478,1000014 | IREKS GOLDEN CAKE MILHO VERDE,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000014_ireks_bolo_cremoso_de_milho_verde-1-scaled.jpg,Mistura pronta para preparo de bolo de milho verde - Úmido e cremoso - Sabor caseiro Dosagem: 100% | Embalagem: 10 kg (5 x 2 kg),,,https://www.ireks.com.br/fileadmin/sites/ireks-brasil/receituario-Cakesbolos.pdf,,,
2479,1000044 | IREKS GOLDEN PANETTONE S C50,https://receitas.ireks.com.br/wp-content/uploads/2023/11/1000044_ireks_panettone_gotas_chocolate_golden_panettone_s_c50-scaled.jpg,Mistura para preparo de panetone - Coloração amarelo + intenso - Aroma cítrico suave. Macio e úmido - Contém gemas e massa madre na composição Dosagem: 50% | Validade: 6 meses | Embalagem: 20 kg (4x5 kg),,,,,,
